name,schedulable,makespan,CALAPCalculationTime,schedulerTime
NXT Motion_11_2_220,True,5922.732565368628,0.5576996803283691,3.3262887001037598
NXT Motion_11_2_225,True,5946.500758511337,0.528822660446167,3.504335880279541
NXT Motion_11_2_230,True,5869.571668761014,0.4968435764312744,3.40625262260437
NXT Motion_11_2_235,True,6027.029975039173,0.5048503875732422,3.5755507946014404
NXT Motion_11_2_240,True,5864.767266706708,0.43129563331604004,3.5451436042785645
NXT Motion_11_2_245,True,5900.6293998490855,0.536393404006958,3.38131046295166
NXT Motion_11_2_250,True,6490.199768027548,0.499042272567749,3.4344429969787598
NXT Motion_11_3_200,False,2998.427313703209,0.5153408050537109,1.5612339973449707
NXT Motion_11_3_205,True,4727.112226439873,0.5030264854431152,3.079723834991455
NXT Motion_11_3_210,True,4598.156385924056,0.5108087062835693,3.2400012016296387
NXT Motion_11_3_215,False,2997.903229761119,0.5007679462432861,1.5629160404205322
NXT Motion_11_3_220,True,4898.159344486288,0.5555801391601562,3.050482749938965
NXT Motion_11_3_225,False,2978.303705741203,0.5099947452545166,1.6059348583221436
NXT Motion_11_3_230,False,2995.2686602514013,0.4437837600708008,1.6597907543182373
NXT Motion_11_3_235,True,4842.164498706193,0.5054576396942139,3.2769217491149902
NXT Motion_11_3_240,False,2999.374141331029,0.5036344528198242,1.656512975692749
NXT Motion_11_3_245,True,4695.264585507289,0.5217313766479492,3.1619362831115723
NXT Motion_11_3_250,False,2996.6141009176513,0.49491286277770996,1.7372679710388184
NXT Motion_11_4_200,False,2239.3593409238642,0.5588290691375732,1.21909499168396
NXT Motion_11_4_205,False,2236.2565451582345,0.5100886821746826,1.4059386253356934
NXT Motion_11_4_210,False,2241.9043505016516,0.4373593330383301,1.4200987815856934
NXT Motion_11_4_215,False,2249.6722048421784,0.5063517093658447,1.3864212036132812
NXT Motion_11_4_220,False,2246.1783431657695,0.5047619342803955,1.4092857837677002
NXT Motion_11_4_225,False,2244.6055816464727,0.5511155128479004,1.333817958831787
NXT Motion_11_4_230,False,2247.305696762256,0.5044057369232178,1.4718363285064697
NXT Motion_11_4_235,False,2241.914337467748,0.43517589569091797,1.3014397621154785
NXT Motion_11_4_240,False,2249.8713360038405,0.5198936462402344,1.5285449028015137
NXT Motion_11_4_245,False,2248.2300524536595,0.4998760223388672,1.4396612644195557
NXT Motion_11_4_250,False,2225.5158555859493,0.5233554840087891,1.4736473560333252
NXT Motion_11_5_200,False,1799.6765623928434,0.5063230991363525,1.338468313217163
NXT Motion_11_5_205,False,1798.6634406228745,0.555185079574585,1.236112356185913
NXT Motion_11_5_210,False,1780.471068854614,0.4992668628692627,1.1579101085662842
NXT Motion_11_5_215,False,1784.5198331628808,0.4991331100463867,1.3137881755828857
NXT Motion_11_5_220,False,1768.5567497405764,0.5152082443237305,1.1786599159240723
NXT Motion_11_5_225,False,1792.2354063648186,0.5046577453613281,1.339723825454712
NXT Motion_11_5_230,False,1770.1113605892356,0.5581204891204834,1.1225969791412354
